Hisse,Son,Alis,Satis,Fark,EnDusuk,EnYuksek,AOF,HacimTL,HacimLot
A1CAP,9.82,9.82,9.83,-0.0091,9.57,9.95,9.74,99275715,10195237
A1YEN,3.6,3.60,3.61,-0.0191,3.48,3.72,3.62,240744515,66551238
AAGYO,17.12,17.12,17.13,-0.0133,17.08,17.26,17.16,166989043,9728874
ACSEL,157.2,157.20,157.30,0.0268,152.4,164,158.55,106323750,670601
ADEL,32.28,32.26,32.28,0.0189,31.08,32.4,32.19,182381634,5665508
ADESE,1.01,1.00,1.01,0,0.98,1.01,1,105776467,106055391
ADGYO,53.6,53.55,53.60,-0.0111,52.65,54.35,53.2,52430020,985585
AEFES,20.3,20.30,20.32,-0.0029,19.73,20.54,20.18,677036759,33548430
AFYON,12.85,12.85,12.86,0.0023,12.62,12.89,12.73,20603621,1618987
AGESA,237.2,236.70,237.20,0.0059,229.8,237.5,234.98,59078075,251416
AGHOL,33.18,33.10,33.20,0.0272,31.68,33.18,32.55,105702809,3247689
AGROT,2.86,2.85,2.86,-0.0035,2.83,2.89,2.86,61382761,21446237
AGYO,8.2,8.20,8.24,-0.012,8.1,8.28,8.18,3158723,386270
AHGAZ,32,31.84,32.00,0.0323,30.56,32.82,31.79,202080403,6356807
AHSGY,20,19.99,20.00,-0.005,19.61,20.5,20.02,39036494,1949692
AKBNK,66.9,66.85,66.90,0.0372,63.45,67.4,65.82,11190180993,170008643
AKCNS,204.8,204.80,204.90,-0.0252,203.2,210,205.79,93108836,452447
AKENR,14.38,14.37,14.38,-0.0521,14.31,15.53,14.92,501065279,33589574
AKFGY,2.8,2.80,2.81,0.0182,2.72,2.82,2.78,58656708,21128077
AKFIS,65.5,65.45,65.50,-0.0015,63.8,66.1,65.18,155211162,2381438
AKFYE,27.68,27.68,-,0.0993,26,27.68,27.28,228233391,8367922
AKGRT,7.1,7.10,7.13,-0.0166,7.04,7.23,7.15,80689238,11281029
AKHAN,31.46,31.46,31.48,0.0096,30.4,32.36,31.49,243405276,7729969
AKMGY,260,259.25,260.00,-0.0198,259,270,262.1,7984736,30465
